1: 1 2 3 4 edmonton_oilers
54: 1 2 9 12 columbus_blue_jackets
55: 1 2 9 13 toronto_maple_leafs
56: 1 2 9 14 columbus_blue_jackets
57: 1 2 10 11 new_jersey_devils
58: 1 2 10 12 arizona_coyotes
59: 1 2 10 13 toronto_maple_leafs
60: 1 2 10 14 vancouver_canucks
61: 1 2 11 12 edmonton_oilers
62: 1 2 11 13 toronto_maple_leafs
63: 1 2 11 14 buffalo_sabres
64: 1 2 12 13 montreal_canadiens
65: 1 2 12 14 boston_bruins
66: 1 2 13 14 toronto_maple_leafs
67: 1 3 4 5 buffalo_sabres
68: 1 3 4 6 edmonton_oilers
69: 1 3 4 7 vancouver_canucks
70: 1 3 4 8 buffalo_sabres
71: 1 3 4 9 columbus_blue_jackets
72: 1 3 4 10 toronto_maple_leafs
73: 1 3 4 11 carolina_hurriances
74: 1 3 4 12 toronto_maple_leafs
75: 1 3 4 13 buffalo_sabres
76: 1 3 4 14 toronto_maple_leafs
77: 1 3 5 6 edmonton_oilers
78: 1 3 5 7 colorado_avalanche
79: 1 3 5 8 arizona_coyotes
80: 1 3 5 9 edmonton_oilers
81: 1 3 5 10 toronto_maple_leafs
82: 1 3 5 11 winnipeg_jets
83: 1 3 5 12 columbus_blue_jackets
84: 1 3 5 13 new_jersey_devils
85: 1 3 5 14 winnipeg_jets
86: 1 3 6 7 arizona_coyotes
87: 1 3 6 8 montreal_canadiens
88: 1 3 6 9 toronto_maple_leafs
89: 1 3 6 10 vancouver_canucks
90: 1 3 6 11 toronto_maple_leafs
91: 1 3 6 12 vancouver_canucks
92: 1 3 6 13 columbus_blue_jackets
93: 1 3 6 14 toronto_maple_leafs
94: 1 3 7 8 winnipeg_jets
95: 1 3 7 9 winnipeg_jets
96: 1 3 7 10 buffalo_sabres
97: 1 3 7 11 arizona_coyotes
98: 1 3 7 12 toronto_maple_leafs
99: 1 3 7 13 montreal_canadiens
100: 1 3 7 14 calgary_flames
101: 1 3 8 9 ottawa_senators
102: 1 3 8 10 vancouver_canucks
103: 1 3 8 11 calgary_flames
104: 1 3 8 12 vancouver_canucks
105: 1 3 8 13 montreal_canadiens
106: 1 3 8 14 arizona_coyotes
107: 1 3 9 10 toronto_maple_leafs
108: 1 3 9 11 edmonton_oilers
109: 1 3 9 12 winnipeg_jets
110: 1 3 9 13 edmonton_oilers
111: 1 3 9 14 columbus_blue_jackets
112: 1 3 10 11 carolina_hurriances
113: 1 3 10 12 toronto_maple_leafs
114: 1 3 10 13 columbus_blue_jackets
115: 1 3 10 14 calgary_flames
116: 1 3 11 12 toronto_maple_leafs
117: 1 3 11 13 vancouver_canucks
118: 1 3 11 14 vancouver_canucks
119: 1 3 12 13 calgary_flames
120: 1 3 12 14 columbus_blue_jackets
121: 1 3 13 14 vancouver_canucks
122: 1 4 5 6 arizona_coyotes
123: 1 4 5 7 vancouver_canucks
124: 1 4 5 8 winnipeg_jets
125: 1 4 5 9 toronto_maple_leafs
126: 1 4 5 10 vancouver_canucks
127: 1 4 5 11 calgary_flames
128: 1 4 5 12 vancouver_canucks
129: 1 4 5 13 vancouver_canucks
130: 1 4 5 14 edmonton_oilers
131: 1 4 6 7 colorado_avalanche
132: 1 4 6 8 toronto_maple_leafs
133: 1 4 6 9 toronto_maple_leafs
134: 1 4 6 10 winnipeg_jets
135: 1 4 6 11 toronto_maple_leafs
136: 1 4 6 12 buffalo_sabres
137: 1 4 6 13 buffalo_sabres
138: 1 4 6 14 vancouver_canucks
139: 1 4 7 8 toronto_maple_leafs
140: 1 4 7 9 toronto_maple_leafs
141: 1 4 7 10 vancouver_canucks
142: 1 4 7 11 new_jersey_devils
143: 1 4 7 12 montreal_canadiens
144: 1 4 7 13 columbus_blue_jackets
145: 1 4 7 14 colorado_avalanche
146: 1 4 8 9 edmonton_oilers
147: 1 4 8 10 carolina_hurriances
148: 1 4 8 11 toronto_maple_leafs
149: 1 4 8 12 vancouver_canucks
150: 1 4 8 13 edmonton_oilers
151: 1 4 8 14 vancouver_canucks
152: 1 4 9 10 buffalo_sabres
153: 1 4 9 11 calgary_flames
154: 1 4 9 12 columbus_blue_jackets
155: 1 4 9 13 edmonton_oilers
156: 1 4 9 14 toronto_maple_leafs
157: 1 4 10 11 edmonton_oilers
158: 1 4 10 12 edmonton_oilers
159: 1 4 10 13 toronto_maple_leafs
160: 1 4 10 14 colorado_avalanche
161: 1 4 11 12 toronto_maple_leafs
162: 1 4 11 13 columbus_blue_jackets
163: 1 4 11 14 edmonton_oilers
164: 1 4 12 13 vancouver_canucks
165: 1 4 12 14 columbus_blue_jackets
166: 1 4 13 14 buffalo_sabres
167: 1 5 6 7 vancouver_canucks
168: 1 5 6 8 vancouver_canucks
169: 1 5 6 9 vancouver_canucks
170: 1 5 6 10 boston_bruins
171: 1 5 6 11 vancouver_canucks
172: 1 5 6 12 ottawa_senators
173: 1 5 6 13 winnipeg_jets
174: 1 5 6 14 new_jersey_devils
175: 1 5 7 8 calgary_flames
176: 1 5 7 9 vancouver_canucks
177: 1 5 7 10 carolina_hurriances
178: 1 5 7 11 buffalo_sabres
179: 1 5 7 12 calgary_flames
180: 1 5 7 13 arizona_coyotes
181: 1 5 7 14 calgary_flames
182: 1 5 8 9 toronto_maple_leafs
183: 1 5 8 10 toronto_maple_leafs
184: 1 5 8 11 calgary_flames
185: 1 5 8 12 edmonton_oilers
186: 1 5 8 13 colorado_avalanche
187: 1 5 8 14 edmonton_oilers
188: 1 5 9 10 vancouver_canucks
189: 1 5 9 11 montreal_canadiens
190: 1 5 9 12 columbus_blue_jackets
191: 1 5 9 13 toronto_maple_leafs
192: 1 5 9 14 edmonton_oilers
193: 1 5 10 11 toronto_maple_leafs
194: 1 5 10 12 winnipeg_jets
195: 1 5 10 13 colorado_avalanche
196: 1 5 10 14 buffalo_sabres
197: 1 5 11 12 montreal_canadiens
198: 1 5 11 13 columbus_blue_jackets
199: 1 5 11 14 arizona_coyotes
200: 1 5 12 13 edmonton_oilers
201: 1 5 12 14 calgary_flames
202: 1 5 13 14 edmonton_oilers
203: 1 6 7 8 edmonton_oilers
204: 1 6 7 9 carolina_hurriances
205: 1 6 7 10 toronto_maple_leafs
206: 1 6 7 11 montreal_canadiens
207: 1 6 7 12 winnipeg_jets
208: 1 6 7 13 edmonton_oilers
209: 1 6 7 14 toronto_maple_leafs
210: 1 6 8 9 toronto_maple_leafs
211: 1 6 8 10 vancouver_canucks
212: 1 6 8 11 winnipeg_jets
213: 1 6 8 12 buffalo_sabres
214: 1 6 8 13 toronto_maple_leafs
215: 1 6 8 14 edmonton_oilers
216: 1 6 9 10 toronto_maple_leafs
217: 1 6 9 11 arizona_coyotes
218: 1 6 9 12 montreal_canadiens
219: 1 6 9 13 new_jersey_devils
220: 1 6 9 14 edmonton_oilers
221: 1 6 10 11 toronto_maple_leafs
222: 1 6 10 12 buffalo_sabres
223: 1 6 10 13 colorado_avalanche
224: 1 6 10 14 columbus_blue_jackets
225: 1 6 11 12 montreal_canadiens
226: 1 6 11 13 columbus_blue_jackets
227: 1 6 11 14 montreal_canadiens
228: 1 6 12 13 calgary_flames
229: 1 6 12 14 vancouver_canucks
230: 1 6 13 14 montreal_canadiens
231: 1 7 8 9 edmonton_oilers
232: 1 7 8 10 buffalo_sabres
233: 1 7 8 11 calgary_flames
234: 1 7 8 12 carolina_hurriances
235: 1 7 8 13 toronto_maple_leafs
236: 1 7 8 14 vancouver_canucks
237: 1 7 9 10 toronto_maple_leafs
238: 1 7 9 11 edmonton_oilers
239: 1 7 9 12 arizona_coyotes
240: 1 7 9 13 arizona_coyotes
241: 1 7 9 14 buffalo_sabres
242: 1 7 10 11 winnipeg_jets
243: 1 7 10 12 edmonton_oilers
244: 1 7 10 13 edmonton_oilers
245: 1 7 10 14 toronto_maple_leafs
246: 1 7 11 12 vancouver_canucks
247: 1 7 11 13 edmonton_oilers
248: 1 7 11 14 colorado_avalanche
249: 1 7 12 13 toronto_maple_leafs
250: 1 7 12 14 edmonton_oilers
251: 1 7 13 14 montreal_canadiens
252: 1 8 9 10 edmonton_oilers
253: 1 8 9 11 carolina_hurriances
254: 1 8 9 12 buffalo_sabres
255: 1 8 9 13 winnipeg_jets
256: 1 8 9 14 winnipeg_jets
257: 1 8 10 11 buffalo_sabres
258: 1 8 10 12 toronto_maple_leafs
259: 1 8 10 13 toronto_maple_leafs
260: 1 8 10 14 arizona_coyotes
261: 1 8 11 12 montreal_canadiens
262: 1 8 11 13 columbus_blue_jackets
263: 1 8 11 14 edmonton_oilers
264: 1 8 12 13 winnipeg_jets
265: 1 8 12 14 vancouver_canucks
266: 1 8 13 14 vancouver_canucks
267: 1 9 10 11 arizona_coyotes
268: 1 9 10 12 vancouver_canucks
269: 1 9 10 13 toronto_maple_leafs
270: 1 9 10 14 new_jersey_devils
271: 1 9 11 12 toronto_maple_leafs
272: 1 9 11 13 buffalo_sabres
273: 1 9 11 14 edmonton_oilers
274: 1 9 12 13 columbus_blue_jackets
275: 1 9 12 14 edmonton_oilers
276: 1 9 13 14 calgary_flames
277: 1 10 11 12 edmonton_oilers
278: 1 10 11 13 columbus_blue_jackets
279: 1 10 11 14 toronto_maple_leafs
280: 1 10 12 13 calgary_flames
281: 1 10 12 14 edmonton_oilers
282: 1 10 13 14 edmonton_oilers
283: 1 11 12 13 toronto_maple_leafs
284: 1 11 12 14 winnipeg_jets
285: 1 11 13 14 winnipeg_jets
286: 1 12 13 14 columbus_blue_jackets
287: 2 3 4 5 carolina_hurriances
288: 2 3 4 6 montreal_canadiens
289: 2 3 4 7 edmonton_oilers
290: 2 3 4 8 columbus_blue_jackets
291: 2 3 4 9 toronto_maple_leafs
292: 2 3 4 10 calgary_flames
293: 2 3 4 11 toronto_maple_leafs
294: 2 3 4 12 vancouver_canucks
295: 2 3 4 13 vancouver_canucks
296: 2 3 4 14 calgary_flames
297: 2 3 5 6 colorado_avalanche
298: 2 3 5 7 toronto_maple_leafs
299: 2 3 5 8 winnipeg_jets
300: 2 3 5 9 toronto_maple_leafs
301: 2 3 5 10 winnipeg_jets
302: 2 3 5 11 arizona_coyotes
303: 2 3 5 12 colorado_avalanche
304: 2 3 5 13 colorado_avalanche
305: 2 3 5 14 edmonton_oilers
306: 2 3 6 7 new_jersey_devils
307: 2 3 6 8 vancouver_canucks
308: 2 3 6 9 toronto_maple_leafs
309: 2 3 6 10 toronto_maple_leafs
310: 2 3 6 11 arizona_coyotes
311: 2 3 6 12 edmonton_oilers
312: 2 3 6 13 colorado_avalanche
313: 2 3 6 14 edmonton_oilers
314: 2 3 7 8 edmonton_oilers
315: 2 3 7 9 montreal_canadiens
316: 2 3 7 10 arizona_coyotes
317: 2 3 7 11 vancouver_canucks
318: 2 3 7 12 boston_bruins
319: 2 3 7 13 columbus_blue_jackets
320: 2 3 7 14 edmonton_oilers
321: 2 3 8 9 montreal_canadiens
322: 2 3 8 10 edmonton_oilers
323: 2 3 8 11 columbus_blue_jackets
324: 2 3 8 12 buffalo_sabres
325: 2 3 8 13 boston_bruins
326: 2 3 8 14 toronto_maple_leafs
327: 2 3 9 10 toronto_maple_leafs
328: 2 3 9 11 toronto_maple_leafs
329: 2 3 9 12 edmonton_oilers
330: 2 3 9 13 colorado_avalanche
331: 2 3 9 14 winnipeg_jets
332: 2 3 10 11 vancouver_canucks
333: 2 3 10 12 columbus_blue_jackets
334: 2 3 10 13 arizona_coyotes
335: 2 3 10 14 columbus_blue_jackets
336: 2 3 11 12 calgary_flames
337: 2 3 11 13 winnipeg_jets
338: 2 3 11 14 columbus_blue_jackets
339: 2 3 12 13 toronto_maple_leafs
340: 2 3 12 14 columbus_blue_jackets
341: 2 3 13 14 calgary_flames
342: 2 4 5 6 calgary_flames
343: 2 4 5 7 ottawa_senators
344: 2 4 5 8 edmonton_oilers
345: 2 4 5 9 calgary_flames
346: 2 4 5 10 columbus_blue_jackets
347: 2 4 5 11 winnipeg_jets
348: 2 4 5 12 vancouver_canucks
349: 2 4 5 13 vancouver_canucks
350: 2 4 5 14 toronto_maple_leafs
351: 2 4 6 7 toronto_maple_leafs
352: 2 4 6 8 columbus_blue_jackets
353: 2 4 6 9 winnipeg_jets
354: 2 4 6 10 vancouver_canucks
355: 2 4 6 11 winnipeg_jets
356: 2 4 6 12 vancouver_canucks
357: 2 4 6 13 columbus_blue_jackets
358: 2 4 6 14 toronto_maple_leafs
359: 2 4 7 8 arizona_coyotes
360: 2 4 7 9 arizona_coyotes
361: 2 4 7 10 toronto_maple_leafs
362: 2 4 7 11 vancouver_canucks
363: 2 4 7 12 edmonton_oilers
364: 2 4 7 13 buffalo_sabres
365: 2 4 7 14 colorado_avalanche
366: 2 4 8 9 carolina_hurriances
367: 2 4 8 10 edmonton_oilers
368: 2 4 8 11 edmonton_oilers
369: 2 4 8 12 toronto_maple_leafs
370: 2 4 8 13 winnipeg_jets
371: 2 4 8 14 toronto_maple_leafs
372: 2 4 9 10 toronto_maple_leafs
373: 2 4 9 11 buffalo_sabres
374: 2 4 9 12 columbus_blue_jackets
375: 2 4 9 13 toronto_maple_leafs
376: 2 4 9 14 columbus_blue_jackets
377: 2 4 10 11 winnipeg_jets
378: 2 4 10 12 edmonton_oilers
379: 2 4 10 13 buffalo_sabres
380: 2 4 10 14 montreal_canadiens
381: 2 4 11 12 columbus_blue_jackets
382: 2 4 11 13 toronto_maple_leafs
383: 2 4 11 14 arizona_coyotes
384: 2 4 12 13 vancouver_canucks
385: 2 4 12 14 toronto_maple_leafs
386: 2 4 13 14 calgary_flames
387: 2 5 6 7 calgary_flames
388: 2 5 6 8 vancouver_canucks
389: 2 5 6 9 toronto_maple_leafs
390: 2 5 6 10 vancouver_canucks
391: 2 5 6 11 vancouver_canucks
392: 2 5 6 12 edmonton_oilers
393: 2 5 6 13 columbus_blue_jackets
394: 2 5 6 14 toronto_maple_leafs
395: 2 5 7 8 colorado_avalanche
396: 2 5 7 9 calgary_flames
397: 2 5 7 10 toronto_maple_leafs
398: 2 5 7 11 montreal_canadiens
399: 2 5 7 12 edmonton_oilers
400: 2 5 7 13 montreal_canadiens
401: 2 5 7 14 colorado_avalanche
402: 2 5 8 9 edmonton_oilers
403: 2 5 8 10 toronto_maple_leafs
404: 2 5 8 11 montreal_canadiens
405: 2 5 8 12 buffalo_sabres
406: 2 5 8 13 ottawa_senators
407: 2 5 8 14 vancouver_canucks
408: 2 5 9 10 calgary_flames
409: 2 5 9 11 edmonton_oilers
410: 2 5 9 12 vancouver_canucks
411: 2 5 9 13 ottawa_senators
412: 2 5 9 14 calgary_flames
413: 2 5 10 11 buffalo_sabres
414: 2 5 10 12 toronto_maple_leafs
415: 2 5 10 13 winnipeg_jets
416: 2 5 10 14 buffalo_sabres
417: 2 5 11 12 toronto_maple_leafs
418: 2 5 11 13 montreal_canadiens
419: 2 5 11 14 toronto_maple_leafs
420: 2 5 12 13 montreal_canadiens
421: 2 5 12 14 winnipeg_jets
422: 2 5 13 14 new_jersey_devils
423: 2 6 7 8 columbus_blue_jackets
424: 2 6 7 9 toronto_maple_leafs
425: 2 6 7 10 toronto_maple_leafs
426: 2 6 7 11 calgary_flames
427: 2 6 7 12 edmonton_oilers
428: 2 6 7 13 winnipeg_jets
429: 2 6 7 14 edmonton_oilers
430: 2 6 8 9 winnipeg_jets
431: 2 6 8 10 calgary_flames
432: 2 6 8 11 new_jersey_devils
433: 2 6 8 12 edmonton_oilers
434: 2 6 8 13 toronto_maple_leafs
435: 2 6 8 14 edmonton_oilers
436: 2 6 9 10 edmonton_oilers
437: 2 6 9 11 new_jersey_devils
438: 2 6 9 12 ottawa_senators
439: 2 6 9 13 arizona_coyotes
440: 2 6 9 14 toronto_maple_leafs
441: 2 6 10 11 calgary_flames
442: 2 6 10 12 winnipeg_jets
443: 2 6 10 13 columbus_blue_jackets
444: 2 6 10 14 winnipeg_jets
445: 2 6 11 12 buffalo_sabres
446: 2 6 11 13 montreal_canadiens
447: 2 6 11 14 vancouver_canucks
448: 2 6 12 13 toronto_maple_leafs
449: 2 6 12 14 arizona_coyotes
450: 2 6 13 14 montreal_canadiens
451: 2 7 8 9 edmonton_oilers
452: 2 7 8 10 arizona_coyotes
453: 2 7 8 11 toronto_maple_leafs
454: 2 7 8 12 calgary_flames
455: 2 7 8 13 edmonton_oilers
456: 2 7 8 14 winnipeg_jets
457: 2 7 9 10 toronto_maple_leafs
458: 2 7 9 11 columbus_blue_jackets
459: 2 7 9 12 columbus_blue_jackets
460: 2 7 9 13 toronto_maple_leafs
461: 2 7 9 14 columbus_blue_jackets
462: 2 7 10 11 arizona_coyotes
463: 2 7 10 12 calgary_flames
464: 2 7 10 13 montreal_canadiens
465: 2 7 10 14 edmonton_oilers
466: 2 7 11 12 toronto_maple_leafs
467: 2 7 11 13 columbus_blue_jackets
468: 2 7 11 14 vancouver_canucks
469: 2 7 12 13 carolina_hurriances
470: 2 7 12 14 calgary_flames
471: 2 7 13 14 vancouver_canucks
472: 2 8 9 10 calgary_flames
473: 2 8 9 11 calgary_flames
474: 2 8 9 12 arizona_coyotes
475: 2 8 9 13 vancouver_canucks
476: 2 8 9 14 vancouver_canucks
477: 2 8 10 11 vancouver_canucks
478: 2 8 10 12 vancouver_canucks
479: 2 8 10 13 arizona_coyotes
480: 2 8 10 14 vancouver_canucks
481: 2 8 11 12 edmonton_oilers
482: 2 8 11 13 winnipeg_jets
483: 2 8 11 14 toronto_maple_leafs
484: 2 8 12 13 edmonton_oilers
485: 2 8 12 14 columbus_blue_jackets
486: 2 8 13 14 winnipeg_jets
487: 2 9 10 11 edmonton_oilers
488: 2 9 10 12 ottawa_senators
489: 2 9 10 13 edmonton_oilers
490: 2 9 10 14 columbus_blue_jackets
491: 2 9 11 12 vancouver_canucks
492: 2 9 11 13 colorado_avalanche
493: 2 9 11 14 buffalo_sabres
494: 2 9 12 13 winnipeg_jets
495: 2 9 12 14 toronto_maple_leafs
496: 2 9 13 14 columbus_blue_jackets
497: 2 10 11 12 winnipeg_jets
498: 2 10 11 13 vancouver_canucks
499: 2 10 11 14 toronto_maple_leafs
500: 2 10 12 13 montreal_canadiens
501: 2 10 12 14 vancouver_canucks
502: 2 10 13 14 carolina_hurriances
503: 2 11 12 13 toronto_maple_leafs
504: 2 11 12 14 winnipeg_jets
505: 2 11 13 14 toronto_maple_leafs
506: 2 12 13 14 edmonton_oilers
507: 3 4 5 6 toronto_maple_leafs
508: 3 4 5 7 toronto_maple_leafs
509: 3 4 5 8 buffalo_sabres
510: 3 4 5 9 buffalo_sabres
511: 3 4 5 10 vancouver_canucks
512: 3 4 5 11 columbus_blue_jackets
513: 3 4 5 12 new_jersey_devils
514: 3 4 5 13 columbus_blue_jackets
515: 3 4 5 14 columbus_blue_jackets
516: 3 4 6 7 vancouver_canucks
517: 3 4 6 8 boston_bruins
518: 3 4 6 9 arizona_coyotes
519: 3 4 6 10 vancouver_canucks
520: 3 4 6 11 vancouver_canucks
521: 3 4 6 12 winnipeg_jets
522: 3 4 6 13 carolina_hurriances
523: 3 4 6 14 winnipeg_jets
524: 3 4 7 8 winnipeg_jets
525: 3 4 7 9 buffalo_sabres
526: 3 4 7 10 edmonton_oilers
527: 3 4 7 11 montreal_canadiens
528: 3 4 7 12 toronto_maple_leafs
529: 3 4 7 13 toronto_maple_leafs
530: 3 4 7 14 montreal_canadiens
531: 3 4 8 9 calgary_flames
532: 3 4 8 10 winnipeg_jets
533: 3 4 8 11 winnipeg_jets
534: 3 4 8 12 arizona_coyotes
535: 3 4 8 13 edmonton_oilers
536: 3 4 8 14 arizona_coyotes
537: 3 4 9 10 vancouver_canucks
538: 3 4 9 11 carolina_hurriances
539: 3 4 9 12 edmonton_oilers
540: 3 4 9 13 arizona_coyotes
541: 3 4 9 14 vancouver_canucks
542: 3 4 10 11 winnipeg_jets
543: 3 4 10 12 toronto_maple_leafs
544: 3 4 10 13 ottawa_senators
545: 3 4 10 14 vancouver_canucks
546: 3 4 11 12 montreal_canadiens
547: 3 4 11 13 colorado_avalanche
548: 3 4 11 14 toronto_maple_leafs
549: 3 4 12 13 montreal_canadiens
550: 3 4 12 14 edmonton_oilers
551: 3 4 13 14 toronto_maple_leafs
552: 3 5 6 7 edmonton_oilers
553: 3 5 6 8 vancouver_canucks
554: 3 5 6 9 new_jersey_devils
555: 3 5 6 10 toronto_maple_leafs
556: 3 5 6 11 calgary_flames
557: 3 5 6 12 columbus_blue_jackets
558: 3 5 6 13 columbus_blue_jackets
559: 3 5 6 14 buffalo_sabres
560: 3 5 7 8 toronto_maple_leafs
561: 3 5 7 9 toronto_maple_leafs
562: 3 5 7 10 montreal_canadiens
563: 3 5 7 11 arizona_coyotes
564: 3 5 7 12 montreal_canadiens
565: 3 5 7 13 edmonton_oilers
566: 3 5 7 14 ottawa_senators
567: 3 5 8 9 edmonton_oilers
568: 3 5 8 10 new_jersey_devils
569: 3 5 8 11 vancouver_canucks
570: 3 5 8 12 edmonton_oilers
571: 3 5 8 13 edmonton_oilers
572: 3 5 8 14 montreal_canadiens
573: 3 5 9 10 winnipeg_jets
574: 3 5 9 11 vancouver_canucks
575: 3 5 9 12 columbus_blue_jackets
576: 3 5 9 13 columbus_blue_jackets
577: 3 5 9 14 toronto_maple_leafs
578: 3 5 10 11 toronto_maple_leafs
579: 3 5 10 12 toronto_maple_leafs
580: 3 5 10 13 ottawa_senators
581: 3 5 10 14 winnipeg_jets
582: 3 5 11 12 vancouver_canucks
583: 3 5 11 13 vancouver_canucks
584: 3 5 11 14 boston_bruins
585: 3 5 12 13 colorado_avalanche
586: 3 5 12 14 edmonton_oilers
587: 3 5 13 14 vancouver_canucks
588: 3 6 7 8 edmonton_oilers
589: 3 6 7 9 toronto_maple_leafs
590: 3 6 7 10 new_jersey_devils
591: 3 6 7 11 columbus_blue_jackets
592: 3 6 7 12 montreal_canadiens
593: 3 6 7 13 vancouver_canucks
594: 3 6 7 14 arizona_coyotes
595: 3 6 8 9 toronto_maple_leafs
596: 3 6 8 10 edmonton_oilers
597: 3 6 8 11 edmonton_oilers
598: 3 6 8 12 buffalo_sabres
599: 3 6 8 13 ottawa_senators
600: 3 6 8 14 toronto_maple_leafs
601: 3 6 9 10 edmonton_oilers
602: 3 6 9 11 winnipeg_jets
603: 3 6 9 12 edmonton_oilers
604: 3 6 9 13 buffalo_sabres
605: 3 6 9 14 ottawa_senators
606: 3 6 10 11 columbus_blue_jackets
607: 3 6 10 12 calgary_flames
608: 3 6 10 13 edmonton_oilers
609: 3 6 10 14 winnipeg_jets
610: 3 6 11 12 columbus_blue_jackets
611: 3 6 11 13 edmonton_oilers
612: 3 6 11 14 toronto_maple_leafs
613: 3 6 12 13 montreal_canadiens
614: 3 6 12 14 boston_bruins
615: 3 6 13 14 columbus_blue_jackets
616: 3 7 8 9 toronto_maple_leafs
617: 3 7 8 10 buffalo_sabres
618: 3 7 8 11 calgary_flames
619: 3 7 8 12 vancouver_canucks
620: 3 7 8 13 colorado_avalanche
621: 3 7 8 14 columbus_blue_jackets
622: 3 7 9 10 montreal_canadiens
623: 3 7 9 11 toronto_maple_leafs
624: 3 7 9 12 calgary_flames
625: 3 7 9 13 edmonton_oilers
626: 3 7 9 14 columbus_blue_jackets
627: 3 7 10 11 montreal_canadiens
628: 3 7 10 12 toronto_maple_leafs
629: 3 7 10 13 columbus_blue_jackets
630: 3 7 10 14 buffalo_sabres
631: 3 7 11 12 edmonton_oilers
632: 3 7 11 13 columbus_blue_jackets
633: 3 7 11 14 edmonton_oilers
634: 3 7 12 13 montreal_canadiens
635: 3 7 12 14 columbus_blue_jackets
636: 3 7 13 14 toronto_maple_leafs
637: 3 8 9 10 colorado_avalanche
638: 3 8 9 11 calgary_flames
639: 3 8 9 12 buffalo_sabres
640: 3 8 9 13 columbus_blue_jackets
641: 3 8 9 14 calgary_flames
642: 3 8 10 11 new_jersey_devils
643: 3 8 10 12 calgary_flames
644: 3 8 10 13 toronto_maple_leafs
645: 3 8 10 14 colorado_avalanche
646: 3 8 11 12 columbus_blue_jackets
647: 3 8 11 13 arizona_coyotes
648: 3 8 11 14 toronto_maple_leafs
649: 3 8 12 13 buffalo_sabres
650: 3 8 12 14 winnipeg_jets
651: 3 8 13 14 colorado_avalanche
652: 3 9 10 11 vancouver_canucks
653: 3 9 10 12 buffalo_sabres
654: 3 9 10 13 vancouver_canucks
655: 3 9 10 14 toronto_maple_leafs
656: 3 9 11 12 vancouver_canucks
657: 3 9 11 13 edmonton_oilers
658: 3 9 11 14 columbus_blue_jackets
659: 3 9 12 13 calgary_flames
660: 3 9 12 14 arizona_coyotes
661: 3 9 13 14 vancouver_canucks
662: 3 10 11 12 edmonton_oilers
663: 3 10 11 13 toronto_maple_leafs
664: 3 10 11 14 winnipeg_jets
665: 3 10 12 13 toronto_maple_leafs
666: 3 10 12 14 winnipeg_jets
667: 3 10 13 14 columbus_blue_jackets
668: 3 11 12 13 edmonton_oilers
669: 3 11 12 14 calgary_flames
670: 3 11 13 14 vancouver_canucks
671: 3 12 13 14 arizona_coyotes
672: 4 5 6 7 winnipeg_jets
673: 4 5 6 8 winnipeg_jets
674: 4 5 6 9 vancouver_canucks
675: 4 5 6 10 toronto_maple_leafs
676: 4 5 6 11 toronto_maple_leafs
677: 4 5 6 12 carolina_hurriances
678: 4 5 6 13 winnipeg_jets
679: 4 5 6 14 winnipeg_jets
680: 4 5 7 8 toronto_maple_leafs
681: 4 5 7 9 columbus_blue_jackets
682: 4 5 7 10 winnipeg_jets
683: 4 5 7 11 toronto_maple_leafs
684: 4 5 7 12 buffalo_sabres
685: 4 5 7 13 arizona_coyotes
